Process,Location,Cluster Head,Billable,Cost1,ExtraBilling
Amazon Merchant,Hyderabad,Ram Prasad,480,37000,[]
Arka_Fincap,Mumbai,Harshad Patil,480,36000,"[{""count"":1,""cost"":36000}]"
Bajaj_Allianz-Noida,Noida,Ajay Kalra,480,35175,[]
Bajaj_Allianz-Noida,Noida,Ajay Kalra,480,39000,[]
Bajaj_Capital,Noida,Ajay Kalra,480,33300,[]
Balmer_Lawrie,Chennai,Vijay B,480,38500,[]
BharatPe,Noida,Gaurav Kukreja,480,26300,[]
BSES-Noida,Noida,Lucky Kapur,480,23500,[]
CESC,Kolkata,Lucky Kapur,480,27500,[]
CESC_Jaipur,Jaipur,Lucky Kapur,480,12247,"[{""count"":7,""cost"":18000},{""count"":1,""cost"":30000},{""count"":3,""cost"":11420}]"
DATIK,Noida,Rohit Singh,480,76133.125,[]
DIC,Noida,Lucky Kapur,480,34701,"[{""count"":5,""cost"":34701}]"
Dish_IB-Chennai,Chennai,Vijay B,480,22750,[]
DISH_IB-HYD,Hyderabad,Ram Prasad,480,21500,[]
Dish_TV-Backend,Noida,Rohit Singh,480,26000,[]
DMI,Noida,Ajay Kalra,480,30000,"[{""count"":2,""cost"":32500},{""count"":2,""cost"":35000}]"
DMI,Noida,Ajay Kalra,480,32500,[]
E Saras,Noida,Lucky Kapur,480,23100,"[{""count"":1,""cost"":25300}]"
EDCIL,Noida,Lucky Kapur,480,36328,"[{""count"":3,""cost"":29952}]"
Edelweiss,Hyderabad,Ram Prasad,480,28000,"[{""count"":2,""cost"":25500},{""count"":1,""cost"":25000}]"
GO_NOISE,Noida,Gaurav Kukreja,480,30000,[]
GOQII,Mumbai,Harshad Patil,480,32550,"[{""count"":1,""cost"":32550}]"
GS-1,Noida,Mayank Srivastav,480,35000,"[{""count"":1,""cost"":33000}]"
GS-1,Noida,Mayank Srivastav,480,42500,[]
GS-1,Noida,Mayank Srivastav,480,33000,[]
GS-1,Noida,Mayank Srivastav,480,42000,[]
HDFC_Persistency,Mumbai,Harshad Patil,480,31973,[]
ICAI,Noida,Lucky Kapur,480,23750,"[{""count"":2,""cost"":29000}]"
ICAI-HYD,Hyderabad,Ram Prasad,480,23750,"[{""count"":1,""cost"":29000}]"
IDFC_CROSS_SALE,Mumbai,Harshad Patil,480,35000,[]
IDFC_DIGI_SALE,Mumbai,Harshad Patil,480,35000,[]
IDFC-NOIDA,Noida,Rohit Singh,480,31000,[]
Imagine,Noida,Rohit Singh,480,30000,"[{""count"":1,""cost"":21000}]"
IRDAI,Hyderabad,Ram Prasad,480,35960,[]
Jindal Steel LTD,Noida,Lucky Kapur,480,21500,[]
JIO_INSURE,Mumbai,Harshad Patil,480,38000,[]
JVVNL,Jaipur,Lucky Kapur,480,13996,[]
KPN,Bengaluru,Chandrachooda Bhat,480,31500,"[{""count"":4,""cost"":31500}]"
KPN_Fresh_CC,Bengaluru,Chandrachooda Bhat,480,31500,"[{""count"":4,""cost"":31500}]"
L&T Services-Mumbai,Mumbai,Harshad Patil,480,36000,"[{""count"":4,""cost"":18000}]"
L&T SME,Bengaluru,Harshad Patil,480,36000,[]
Max_Life-SDPL,Noida,Mayank Srivastav,480,30540,[]
Max_Life-SDPL,Noida,Mayank Srivastav,480,43000,[]
Mitsubishi,Noida,Rohit Singh,480,29000,"[{""count"":1,""cost"":29000}]"
MOT,Noida,Lucky Kapur,480,49750,[]
Mpokket,Noida,Gaurav Kukreja,480,27000,[]
Mpokket_Onboarding_SE,Noida,Gaurav Kukreja,480,27000,[]
Mpokket_Onboarding_ST,Noida,Gaurav Kukreja,480,27000,[]
Muthoot,Noida,Gaurav Kukreja,480,31000,[]
Muthoot_Finance,Noida,Rohit Singh,480,31000,[]
Namma yatri-Bengaluru,Bengaluru,Chandrachooda Bhat,480,33000,"[{""count"":1,""cost"":33000}]"
Namma_Yatri,Chennai,Vijay B,480,33000,"[{""count"":1,""cost"":33000}]"
NetMeds,Chennai,Vijay B,480,25000,[]
NHDC,Noida,Lucky Kapur,480,21450,"[{""count"":1,""cost"":21450}]"
NPS,Noida,Lucky Kapur,480,30879,[]
Paytm_Bank_Mysore,Mysore,Chandrachooda Bhat,480,27500,[]
Paytm_Bank_Noida,Noida,Gaurav Kukreja,480,22800,[]
Poshan_Helpline,Noida,Lucky Kapur,480,24032,"[{""count"":1,""cost"":35000},{""count"":9,""cost"":18500}]"
Poshan_Helpline-Hyd,Hyderabad,Ram Prasad,480,24032,"[{""count"":3,""cost"":18500}]"
Protean-Mumbai,Mumbai,Harshad Patil,480,49000,[]
PSPCL,Ludhiana,Lucky Kapur,480,24937.61,"[{""count"":1,""cost"":25749.89},{""count"":3,""cost"":23158.75}]"
PVVNL,Meerut,Lucky Kapur,480,19399,"[{""count"":1,""cost"":32699},{""count"":3,""cost"":21799},{""count"":8,""cost"":19620},{""count"":6,""cost"":13040},{""count"":1,""cost"":10200},{""count"":2,""cost"":19620}]"
Qurex,Noida,Rohit Singh,480,15000,"[{""count"":1,""cost"":29000},{""count"":6,""cost"":7500}]"
RBI,Chandigarh,Lucky Kapur,480,24603,"[{""count"":6,""cost"":26221},{""count"":3,""cost"":23977},{""count"":1,""cost"":57637}]"
S_C_JOHNSON,Noida,Lucky Kapur,480,33000,[]
TN CM,Chennai,Vijay B,480,21185,[]
TPDDL,Noida,Lucky Kapur,480,30296,[]
Unicef,Noida,Rohit Singh,480,39500,"[{""count"":1,""cost"":39500}]"
Upbhokta,Jaipur,Lucky Kapur,480,13996,[]
VD2H_IB-Chennai,Chennai,Vijay B,480,22750,[]
VD2H-HYD,Hyderabad,Ram Prasad,480,21500,[]
YES_BANK,Mumbai,Harshad Patil,480,33700,[]
ZET,Noida,Gaurav Kukreja,480,31500,"[{""count"":1,""cost"":31500}]"
